title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
"m 7.5 - hindu kush region, afghanistan",7.5,2015-10-26 09:09:00,8,7,orange,0,1448,us,0,0.622,18.0,mww,231.0,36.5244,70.3676,"hindu kush region, afghanistan",afghanistan
"m 7.1 - 31 km ne of port-olry, vanuatu",7.1,2015-10-20 21:52:00,6,6,green,1,780,us,0,0.592,11.0,mww,135.0,-14.8595,167.303,"port-olry, vanuatu",vanuatu
"m 6.6 - 28 km n of sorong, indonesia",6.6,2015-09-24 15:53:00,7,7,green,0,671,us,0,2.486,13.0,mww,18.0,-0.6212,131.262,"sorong, indonesia",indonesia
"m 6.6 - 22 km wsw of illapel, chile",6.6,2015-09-21 17:40:00,5,7,green,1,820,us,0,1.064,14.0,mww,35.0,-31.7275,-71.3792,"illapel, chile",chile
"m 6.7 - 61 km wnw of illapel, chile",6.7,2015-09-17 04:10:00,5,7,green,0,718,us,0,0.853,35.0,mww,23.0,-31.5173,-71.804,"illapel, chile",chile
"m 6.5 - 54 km wnw of illapel, chile",6.5,2015-09-17 03:55:00,6,7,green,0,657,us,0,0.749,62.0,mww,27.0,-31.4244,-71.6876,"illapel, chile",chile
"m 7.0 - 25 km wnw of illapel, chile",7.0,2015-09-16 23:18:00,8,7,green,0,799,us,0,0.903,13.0,mww,28.41,-31.5622,-71.4262,"illapel, chile",chile
"m 8.3 - 48 km w of illapel, chile",8.3,2015-09-16 22:54:00,9,8,orange,1,1960,us,0,0.684,19.0,mww,22.44,-31.5729,-71.6744,"illapel, chile",chile
"m 6.7 - 95 km sw of topolobampo, mexico",6.7,2015-09-13 08:14:00,5,5,green,1,708,us,0,1.256,123.0,mww,10.0,24.913,-109.623,"topolobampo, mexico",unknown
"m 6.5 - 177 km se of gizo, solomon islands",6.5,2015-12-08 18:49:00,0,5,green,1,650,us,0,2.045,16.0,mww,6.43,-9.3293,157.877,"gizo, solomon islands",unknown
"m 6.6 - 186 km wnw of malango, solomon islands",6.6,2015-10-08 04:12:00,3,5,green,1,671,us,0,1.872,20.0,mww,22.0,-9.3438,158.053,"malango, solomon islands",unknown
"m 7.0 - 234 km w of abepura, indonesia",7.0,2015-07-27 21:41:00,9,7,green,1,762,us,0,6.278,12.0,mww,48.0,-2.6286,138.528,"abepura, indonesia",indonesia
"m 6.9 - fox islands, aleutian islands, alaska",6.9,2015-07-27 04:49:00,4,7,green,1,734,us,0,0.444,39.0,mww,29.0,52.376,-169.446,"fox islands, aleutian islands, alaska",unknown
"m 7.0 - 80 km wnw of lata, solomon islands",7.0,2015-07-18 02:27:00,8,6,green,1,759,us,0,5.205,22.0,mww,11.0,-10.4012,165.141,"lata, solomon islands",unknown
"m 6.5 - 128 km ne of bathsheba, barbados",6.5,2015-07-16 15:16:00,4,4,green,1,686,us,0,1.218,20.0,mww,20.0,13.8672,-58.5479,"bathsheba, barbados",unknown
"m 6.7 - 150 km wnw of malango, solomon islands",6.7,2015-10-07 04:12:00,4,5,green,1,691,us,0,1.529,11.0,mww,12.0,-9.307,158.403,"malango, solomon islands",solomon islands
"m 6.5 - bonin islands, japan region",6.5,2015-06-23 12:18:00,3,4,green,0,652,us,0,2.277,11.0,mww,460.0,27.7375,139.725,"bonin islands, japan region",unknown
"m 7.8 - bonin islands, japan region",7.8,2015-05-30 11:23:00,6,3,green,1,1151,us,0,1.675,12.0,mww,664.0,27.8386,140.493,"bonin islands, japan region",unknown
"m 6.8 - 117 km sse of ugashik, alaska",6.8,2015-05-29 07:00:00,5,6,green,1,762,ak,0,0.0,0.0,mw,72.6,56.594,-156.43,"ugashik, alaska",unknown
"m 6.8 - 159 km ese of kirakira, solomon islands",6.8,2015-05-22 23:59:00,1,5,green,1,711,us,0,3.619,18.0,mww,10.0,-11.1093,163.215,"kirakira, solomon islands",unknown
"m 6.9 - 205 km ese of kirakira, solomon islands",6.9,2015-05-22 21:45:00,1,4,green,1,732,us,0,4.024,22.0,mww,11.19,-11.0559,163.696,"kirakira, solomon islands",unknown
"m 6.8 - 178 km w of lata, solomon islands",6.8,2015-05-20 22:48:00,1,4,green,1,711,us,0,4.395,15.0,mww,11.0,-10.8759,164.169,"lata, solomon islands",unknown
"m 6.8 - 32 km se of ?funato, japan",6.8,2015-12-05 21:12:00,8,6,green,1,831,us,0,1.422,8.0,mww,35.0,38.9056,142.032,"?funato, japan",japan
